"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator SDMX Name","Allocated Reserves, Claims in Japanese yen, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Short Name","Claims in Japanese yen, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARNLG, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Code","RAXGFXARNLG_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Concept","Claims in Netherlands guilder",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator CTS Code","RAXGFXARNLG",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Display Name","Claims in Netherlands guilder",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Netherlands guilder, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Name","Allocated Reserves, Claims in Netherlands guilder, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator SDMX Code","RAXGFXARNLG_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator SDMX Name","Allocated Reserves, Claims in Netherlands guilder, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Short Name","Claims in Netherlands guilder, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAROC, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Code","RAXGFXAROC_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Concept","Claims in other currencies",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator CTS Code","RAXGFXAROC",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Display Name","Claims in other currencies",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in other currencies, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Name","Allocated Reserves, Claims in other currencies, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator SDMX Code","RAXGFXAROC_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator SDMX Name","Allocated Reserves, Claims in Other currencies, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Short Name","Claims in other currencies, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARGBP, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Code","RAXGFXARGBP_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Concept","Claims in pounds sterling",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator CTS Code","RAXGFXARGBP",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Display Name","Claims in pounds sterling",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in pounds sterling, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Name","Allocated Reserves, Claims in pounds sterling, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator SDMX Code","RAXGFXARGBP_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator SDMX Name","Allocated Reserves, Claims in Pounds sterling, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Short Name","Claims in pounds sterling, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARCHF, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Code","RAXGFXARCHF_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Concept","Claims in Swiss francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator CTS Code","RAXGFXARCHF",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Display Name","Claims in Swiss francs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Swiss francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Name","Allocated Reserves, Claims in Swiss francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator SDMX Code","RAXGFXARCHF_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator SDMX Name","Allocated Reserves, Claims in Swiss francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Short Name","Claims in Swiss francs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARUSD, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Code","RAXGFXARUSD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Concept","Claims in U.S. dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator CTS Code","RAXGFXARUSD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Display Name","Claims in U.S. dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in U.S. dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Name","Allocated Reserves, Claims in U.S. dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator SDMX Code","RAXGFXARUSD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator SDMX Name","Allocated Reserves, Claims in U.S. dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Short Name","Claims in U.S. dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAR, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Code","RAXGFXAR_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Concept","Allocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator CTS Code","RAXGFXAR",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Display Name","Allocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Name","Allocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator SDMX Code","RAXGFXAR_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator SDMX Name","Allocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Short Name","Allocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, US Dollars","RAXGFXAR_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Code","RAXGFXARRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Concept","Shares of Allocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator CTS Code","RAXGFXARRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Display Name","Shares of Allocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Name","Shares of Allocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator SDMX Code","RAXGFXARRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Short Name","Shares of Allocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Percent","RAXGFXARRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARAUDRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Code","RAXGFXARAUDRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Concept","Shares of Australian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator CTS Code","RAXGFXARAUDRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Display Name","Shares of Australian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Australian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Australian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator SDMX Code","RAXGFXARAUDRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Australian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Short Name","Shares of Australian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Australian dollars, Percent","RAXGFXARAUDRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARCADRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Code","RAXGFXARCADRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Concept","Shares of Canadian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator CTS Code","RAXGFXARCADRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Display Name","Shares of Canadian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Canadian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of Canadian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator SDMX Code","RAXGFXARCADRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of Canadian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Short Name","Shares of Canadian dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Canadian dollars, Percent","RAXGFXARCADRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAREURORT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Code","RAXGFXARCNYRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Concept","Shares of Chinese renminbi",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator CTS Code","RAXGFXAREURORT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Display Name","Shares of Chinese renminbi",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of Chinese renminbi, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of Chinese renminbi, Percent","RAXGFXARCNYRT_PT","Indicator Key Indicator","Other Indicator",""
